"DPTO","AÑO","ingreso_percapita","gasto_percapita"
"Amazonas",2020,671.61,539.32
"Áncash",2020,726.2,629.3
"Apurímac",2020,669.33,527.79
"Arequipa",2020,983.03,780.88
"Ayacucho",2020,684.85,497.45
"Cajamarca",2020,612.03,488.51
"Callao",2020,747.64,669.35
"Cusco",2020,632.88,593.52
"Huancavelica",2020,484.58,434.27
"Huánuco",2020,631.93,528.83
"Ica",2020,963.23,829.95
"Junín",2020,732.62,618.31
"La Libertad",2020,820.69,679.04
"Lambayeque",2020,844.11,793.41
"Lima",2020,953.63,786.42
"Loreto",2020,599.22,523.82
"Madre de Dios",2020,826.63,713.13
"Moquegua",2020,1153.46,821.18
"Pasco",2020,572.71,469.36
"Piura",2020,729.74,628.38
"Puno",2020,609.99,509.61
"San Martín",2020,721.4,607.86
"Tacna",2020,836.84,712.28
"Tumbes",2020,804.17,689.48
"Ucayali",2020,650.01,585.14
"Amazonas",2022,913.96,730.95
"Áncash",2022,1039.72,847.63
"Apurímac",2022,985.68,681.79
"Arequipa",2022,1404.29,993.28
"Ayacucho",2022,802.57,661.07
"Cajamarca",2022,735.47,589.47
"Callao",2022,1006.17,775.97
"Cusco",2022,886.73,793.52
"Huancavelica",2022,679.77,581.41
"Huánuco",2022,803.62,640.59
"Ica",2022,1266.02,1014.27
"Junín",2022,1083.49,810.1
"La Libertad",2022,1064.63,849.5
"Lambayeque",2022,1121.77,997.9
"Lima",2022,1194.17,929.72
"Loreto",2022,745.66,589.47
"Madre de Dios",2022,1057.5,884.43
"Moquegua",2022,1558.67,1065.97
"Pasco",2022,856.58,638.62
"Piura",2022,974.58,786.01
"Puno",2022,722.95,601.4
"San Martín",2022,943.24,745.05
"Tacna",2022,1126.01,875.61
"Tumbes",2022,1030.45,845.29
"Ucayali",2022,788.77,663.51
"Amazonas",2024,978.18,799.48
"Áncash",2024,1132.44,904.03
"Apurímac",2024,1011.24,733.59
"Arequipa",2024,1538.7,1073.77
"Ayacucho",2024,890.44,741.58
"Cajamarca",2024,836.63,633.98
"Callao",2024,1102.04,845.78
"Cusco",2024,1023.83,865.07
"Huancavelica",2024,783.4,646.45
"Huánuco",2024,835.73,717.44
"Ica",2024,1367.22,1116.53
"Junín",2024,1154.65,912.65
"La Libertad",2024,1204.5,933.23
"Lambayeque",2024,1104.24,1037.71
"Lima",2024,1328.45,994.07
"Loreto",2024,769.15,610.97
"Madre de Dios",2024,1142.12,937.17
"Moquegua",2024,1589.01,1163.86
"Pasco",2024,927.88,692.32
"Piura",2024,1052.13,848.1
"Puno",2024,800.21,674.4
"San Martín",2024,1082.11,812.22
"Tacna",2024,1156.53,915.14
"Tumbes",2024,1051.86,866.94
"Ucayali",2024,844.8,702.36
